Network DDoS Simulation Results
Timestamp,2025-10-23_17-43-32
Simulation Duration,900s
Number of Servers,6
Processing Power,200 req/sec
Queue Size,350
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,624777
Total Dropped - Queue Full,1712
Total Dropped - Timeout,14799
Total Dropped - High Load,18221
Total Dropped - No Server,1140011
Overall Success Rate,34.72%
Overall Drop Rate,65.28%

Probability Analysis
Bandwidth Exhaustion,99.98%
Resource Depletion,70.36%
Successful Attack,64.58%
Total Processing Capacity,1200 req/sec
Capacity Threshold,960 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,110236,104802,95.07%,100.00%,116.4 req/sec,287,0.26%,2200,2.00%,2947,2.67%,5434,4.93%,100.0%,72.8%,100.0%,39.7%,350,139.0,0.000,0.465,1.7s,0.2%
NetworkServer1,108326,102436,94.56%,100.00%,113.8 req/sec,280,0.26%,2475,2.28%,3135,2.89%,5890,5.44%,100.0%,78.6%,100.0%,44.0%,350,154.1,0.000,0.416,1.7s,0.2%
NetworkServer2,111257,105144,94.51%,100.00%,116.8 req/sec,290,0.26%,2702,2.43%,3121,2.81%,6113,5.49%,100.0%,79.6%,100.0%,46.2%,350,161.8,0.000,0.399,2.0s,0.2%
NetworkServer3,109147,103092,94.45%,100.00%,114.5 req/sec,284,0.26%,2637,2.42%,3134,2.87%,6055,5.55%,100.0%,75.4%,100.0%,40.0%,350,140.0,0.000,0.453,3.4s,0.4%
NetworkServer4,110340,104810,94.99%,100.00%,116.5 req/sec,282,0.26%,2392,2.17%,2856,2.59%,5530,5.01%,100.0%,75.0%,99.4%,40.5%,348,141.7,0.000,0.452,2.6s,0.3%
NetworkServer5,110203,104493,94.82%,100.00%,116.1 req/sec,289,0.26%,2393,2.17%,3028,2.75%,5710,5.18%,100.0%,73.4%,98.6%,41.8%,345,146.2,0.000,0.450,2.8s,0.3%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
125,249600,86328,230,1731,2463,158550,0.34586538461538463,0.6529407051282051,99600,30405,67815,0.3052710843373494,0.6808734939759036,150000,55923,92466,0.37282,0.61644,1.0,0.6947289156626506,0.6408575478384124,52.27%,10.90%,0.725
130,259600,88901,239,1769,2543,164867,0.3424537750385208,0.6526117103235747,103600,31326,70646,0.30237451737451737,0.681911196911197,156000,57575,95990,0.36907051282051284,0.6153205128205128,1.0,0.6976254826254826,0.6442652736770383,100.00%,54.71%,0.272
135,269600,92721,248,1896,2644,171580,0.3439206231454006,0.6541839762611276,107600,32667,73490,0.3035966542750929,0.6829925650557621,162000,60054,99986,0.3707037037037037,0.6171975308641975,1.0,0.696403345724907,0.6428274655587143,50.00%,21.19%,0.673
140,279600,96134,258,1968,2753,177047,0.343826895565093,0.6510228898426323,111600,33618,76273,0.3012365591397849,0.6834498207885304,168000,62516,102742,0.3721190476190476,0.6115595238095238,1.0,0.698763440860215,0.6456040480708414,100.00%,62.29%,0.226
145,289600,99774,269,2117,2888,183475,0.34452348066298344,0.6517575966850828,115600,34604,79484,0.29934256055363323,0.6875778546712803,174000,65170,106108,0.3745402298850575,0.609816091954023,1.0,0.7006574394463667,0.647832281701608,100.00%,45.00%,0.330
150,299600,102938,278,2278,2970,189740,0.34358477970627505,0.6517556742323097,119600,35069,82529,0.2932190635451505,0.6900418060200669,180000,67869,109489,0.37705,0.6082722222222222,1.0,0.7067809364548495,0.6550363958292347,83.33%,61.24%,0.299
155,309600,106835,290,2324,3109,196095,0.34507428940568474,0.6518669250645995,123600,36789,85075,0.29764563106796116,0.6883090614886731,186000,70046,113344,0.3765913978494624,0.6093763440860215,1.0,0.7023543689320388,0.6498286693318104,66.67%,40.90%,0.488
160,319600,109955,298,2365,3198,202593,0.34403942428035045,0.6522340425531915,127600,37554,87968,0.2943103448275862,0.6894043887147335,192000,72401,116990,0.37708854166666667,0.6093229166666667,1.0,0.7056896551724138,0.6537525354969573,83.33%,51.48%,0.358
165,329600,113511,309,2450,3290,208995,0.3443901699029126,0.6524393203883495,131600,38737,90697,0.29435410334346507,0.6891869300911854,198000,74774,120748,0.3776464646464646,0.6098383838383838,1.0,0.7056458966565349,0.6537010548900412,66.67%,45.57%,0.460
170,339600,116681,317,2571,3389,215945,0.3435836277974087,0.6543639575971731,135600,39617,94118,0.29216076696165194,0.6940855457227139,204000,77064,124398,0.37776470588235295,0.6097941176470588,1.0,0.7078392330383481,0.6562814506333506,67.42%,28.95%,0.557
175,349600,119576,328,2735,3505,222058,0.3420366132723112,0.6539645308924485,139600,40117,96868,0.28737106017191977,0.6938968481375358,210000,79459,127925,0.3783761904761905,0.6091666666666666,1.0,0.7126289398280803,0.6619163997977414,100.00%,60.29%,0.238
180,359600,122671,335,2816,3580,228782,0.34113181312569524,0.6549304783092325,143600,40839,100452,0.2843941504178273,0.6995264623955432,216000,81832,131146,0.37885185185185183,0.6071574074074074,1.0,0.7156058495821727,0.6654186465672621,100.00%,61.14%,0.233
185,369600,126243,346,2987,3680,235308,0.3415665584415584,0.6556304112554112,147600,41912,103369,0.28395663956639566,0.7003319783197832,222000,84331,134926,0.3798693693693694,0.6077747747747748,1.0,0.7160433604336043,0.6659333652160052,66.67%,45.14%,0.462
190,379600,129708,355,3071,3761,241838,0.34169652265542677,0.6560194942044257,151600,43217,105744,0.28507255936675463,0.6975197889182058,228000,86491,139165,0.3793464912280702,0.6103728070175438,1.0,0.7149274406332453,0.6646205183920534,50.00%,38.14%,0.571
195,389600,133039,362,3111,3868,248597,0.3414758726899384,0.6569250513347022,155600,44347,109091,0.28500642673521853,0.701098971722365,234000,88692,142617,0.379025641025641,0.609474358974359,1.0,0.7149935732647814,0.6646983214879782,83.33%,24.43%,0.520
200,399600,136855,374,3158,4034,253920,0.34247997997998,0.6543693693693694,159600,45477,111743,0.2849436090225564,0.7001441102756892,240000,91378,145335,0.38074166666666664,0.6055625,1.0,0.7150563909774437,0.6647722246793454,83.33%,54.71%,0.338
205,409600,140050,382,3280,4108,260912,0.3419189453125,0.6559619140625,163600,46048,115211,0.28146699266503666,0.7042237163814181,246000,94002,148981,0.3821219512195122,0.6056138211382114,1.0,0.7185330073349634,0.668862361570545,100.00%,35.05%,0.390
210,419600,143889,393,3393,4203,266977,0.342919447092469,0.6553050524308865,167600,47545,117324,0.28368138424821004,0.7000238663484487,252000,96344,153046,0.38231746031746033,0.6073253968253969,1.0,0.71631861575179,0.6662571950021058,56.82%,31.90%,0.581
215,429600,147026,401,3393,4290,273548,0.3422392923649907,0.6555679702048417,171600,48874,120214,0.2848135198135198,0.7005477855477855,258000,98152,156727,0.3804341085271318,0.6074689922480621,1.0,0.7151864801864802,0.6649252708076236,83.33%,39.62%,0.429
220,439600,150305,410,3478,4388,280446,0.3419131028207461,0.6567834394904458,175600,49757,123315,0.2833542141230068,0.702249430523918,264000,100548,160609,0.38086363636363635,0.6083674242424243,1.0,0.7166457858769932,0.6666421010317566,56.82%,23.71%,0.630
225,449600,153838,421,3598,4524,286117,0.34216637010676154,0.6553825622775801,179600,50750,126041,0.28257238307349664,0.7017873051224944,270000,103088,163674,0.38180740740740743,0.6062,1.0,0.7174276169265034,0.6675619022664745,83.33%,47.24%,0.383
230,459600,156912,432,3652,4612,292508,0.3414099216710183,0.655361183637946,183600,51605,128841,0.28107298474945536,0.7017483660130719,276000,105307,167319,0.38154710144927534,0.6062282608695653,1.0,0.7189270152505447,0.6693259002947584,100.00%,64.38%,0.214
235,469600,160379,439,3776,4684,299788,0.3415225724020443,0.6573402896081771,187600,52640,132231,0.28059701492537314,0.7048560767590618,282000,107739,171333,0.3820531914893617,0.607563829787234,1.0,0.7194029850746269,0.6698858647936786,59.09%,21.71%,0.633
240,479600,163754,450,3921,4807,305491,0.3414386989157631,0.6561071726438699,191600,53497,135034,0.27921189979123173,0.7047703549060543,288000,110257,174378,0.38283680555555555,0.6054791666666667,1.0,0.7207881002087683,0.6715154120103156,83.33%,50.81%,0.362
245,489600,167288,460,3953,4888,311846,0.3416830065359477,0.6559375,195600,54763,137652,0.2799744376278119,0.7037423312883435,294000,112525,178147,0.3827380952380952,0.6059421768707483,1.0,0.7200255623721881,0.6706183086731625,100.00%,49.19%,0.305
250,499600,170710,466,4040,4996,319157,0.341693354683747,0.6578442754203363,199600,56015,140707,0.28063627254509016,0.7049448897795592,300000,114695,182490,0.3823166666666667,0.6083,1.0,0.7193637274549098,0.6698396793587175,30.30%,9.10%,0.824
255,509600,173689,477,4124,5088,324810,0.3408339874411303,0.6563952119309262,203600,56885,143400,0.2793958742632613,0.7043222003929273,306000,116804,185534,0.3817124183006536,0.6063202614379085,1.0,0.7206041257367387,0.6712989714549867,100.00%,60.95%,0.234
260,519600,177488,486,4254,5170,331347,0.34158583525789066,0.6567686682063125,207600,58564,145857,0.28210019267822734,0.7025867052023121,312000,118924,189744,0.38116666666666665,0.6081538461538462,1.0,0.7178998073217726,0.6681174203785561,66.67%,36.52%,0.514
265,529600,180842,496,4337,5272,337844,0.3414690332326284,0.6570033987915408,211600,59442,149157,0.28091682419659736,0.7049007561436673,318000,121400,193024,0.3817610062893082,0.606993710691824,1.0,0.7190831758034026,0.6695096185922383,100.00%,32.24%,0.407
270,539600,183860,505,4501,5354,344221,0.34073387694588586,0.6571182357301705,215600,60143,152455,0.27895640074211503,0.7071196660482375,324000,123717,196267,0.38184259259259257,0.6057623456790123,1.0,0.721043599257885,0.6718159991269235,90.91%,49.48%,0.340
275,549600,186952,516,4546,5431,350886,0.34016011644832606,0.6575309315866085,219600,60763,155422,0.2766985428051002,0.7077504553734062,330000,126189,200010,0.3823909090909091,0.6060909090909091,1.0,0.7233014571948998,0.674472302582235,100.00%,54.14%,0.275
280,559600,190613,524,4663,5524,357754,0.3406236597569693,0.6584435310936383,223600,62109,158230,0.27776833631484793,0.7076475849731664,336000,128504,204187,0.38245238095238093,0.6076994047619048,1.0,0.722231663685152,0.6732137219825319,50.00%,21.71%,0.670
285,569600,193836,534,4773,5641,363803,0.3403019662921348,0.6579195926966293,227600,63023,161096,0.276902460456942,0.7078031634446397,342000,130813,207480,0.3824941520467836,0.6066666666666667,1.0,0.723097539543058,0.6742323994624212,83.33%,43.00%,0.409
290,579600,197418,543,4854,5720,370259,0.34061076604554863,0.6579986197377502,231600,64233,163652,0.2773445595854922,0.706614853195164,348000,133185,211461,0.3827155172413793,0.607646551724138,1.0,0.7226554404145078,0.6737122828405974,66.67%,34.19%,0.528
295,589600,201010,554,4854,5837,375980,0.3409260515603799,0.6567588195386703,235600,65816,165969,0.2793548387096774,0.7044524617996605,354000,135194,214865,0.38190395480225986,0.6069632768361581,1.0,0.7206451612903226,0.67134724857685,83.33%,59.76%,0.308
300,599600,204647,563,4934,5942,382762,0.3413058705803869,0.6574399599733155,239600,67253,168981,0.28068864774624375,0.705262938230384,360000,137394,218715,0.38165,0.6075416666666666,1.0,0.7193113522537562,0.6697780614750074,39.39%,33.33%,0.642
