Network DDoS Simulation Results
Timestamp,2025-10-23_17-35-54
Simulation Duration,900s
Number of Servers,12
Processing Power,300 req/sec
Queue Size,600
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,1799321
Total Dropped - Queue Full,5
Total Dropped - Timeout,60
Total Dropped - High Load,134
Total Dropped - No Server,0
Overall Success Rate,99.99%
Overall Drop Rate,0.01%

Probability Analysis
Bandwidth Exhaustion,33.33%
Resource Depletion,0.25%
Successful Attack,0.00%
Total Processing Capacity,3600 req/sec
Capacity Threshold,2880 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,290780,290759,99.99%,100.00%,323.1 req/sec,1,0.00%,0,0.00%,20,0.01%,21,0.01%,100.0%,83.1%,44.8%,3.1%,269,18.6,0.000,0.643,2.8s,0.3%
NetworkServer1,299526,299483,99.99%,100.00%,332.8 req/sec,1,0.00%,0,0.00%,42,0.01%,43,0.01%,100.0%,76.7%,41.8%,2.5%,251,15.1,0.000,0.672,1.7s,0.2%
NetworkServer2,303936,303908,99.99%,100.00%,337.7 req/sec,1,0.00%,10,0.00%,17,0.01%,28,0.01%,100.0%,76.5%,22.3%,2.7%,134,16.1,0.000,0.672,2.1s,0.2%
NetworkServer3,298260,298250,100.00%,100.00%,331.4 req/sec,1,0.00%,0,0.00%,9,0.00%,10,0.00%,100.0%,81.3%,36.8%,2.8%,221,16.9,0.000,0.652,1.8s,0.2%
NetworkServer4,301985,301920,99.98%,100.00%,335.5 req/sec,1,0.00%,50,0.02%,14,0.00%,65,0.02%,100.0%,80.1%,37.0%,2.4%,222,14.1,0.000,0.660,2.1s,0.2%
NetworkServer5,305033,305001,99.99%,100.00%,338.9 req/sec,0,0.00%,0,0.00%,32,0.01%,32,0.01%,100.0%,78.9%,37.8%,2.1%,227,12.6,0.000,0.666,0.0s,0.0%
NetworkServer6,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer7,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer8,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer9,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer10,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer11,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
180,359600,359163,5,0,134,0,0.9987847608453838,0.0003865406006674082,143600,143530,0,0.9995125348189415,0.0,216000,215633,0,0.9983009259259259,0.0,0.3333333333333333,0.00023560817084492534,0.0,45.00%,1.51%,0.311
185,369600,369219,5,0,134,0,0.9989691558441558,0.0003760822510822511,147600,147530,0,0.9995257452574525,0.0,222000,221689,0,0.998599099099099,0.0,0.3333333333333333,0.00022734116230053574,0.0,43.81%,0.81%,0.320
190,379600,379178,5,0,134,0,0.9988883034773446,0.00036617492096944153,151600,151530,0,0.9995382585751978,0.0,228000,227648,0,0.9984561403508772,0.0,0.3333333333333333,0.0002239079448842188,0.0,45.48%,1.28%,0.310
195,389600,389146,5,0,134,0,0.998834702258727,0.00035677618069815197,155600,155530,0,0.9995501285347044,0.0,234000,233616,0,0.9983589743589744,0.0,0.3333333333333333,0.0002224364467295039,0.0,48.33%,1.56%,0.297
200,399600,399168,5,0,134,0,0.9989189189189189,0.00034784784784784784,159600,159530,0,0.999561403508772,0.0,240000,239638,0,0.9984916666666667,0.0,0.3333333333333333,0.00021094402673347437,0.0,44.29%,1.49%,0.314
205,409600,409181,5,0,134,0,0.99897705078125,0.00033935546875,163600,163530,0,0.9995721271393643,0.0,246000,245651,0,0.9985813008130081,0.0,0.3333333333333333,0.00020646563433850864,0.0,44.76%,1.28%,0.313
210,419600,419168,5,0,134,0,0.9989704480457579,0.0003312678741658723,167600,167530,0,0.999582338902148,0.0,252000,251638,0,0.998563492063492,0.0,0.3333333333333333,0.0002045213471227738,0.0,46.90%,1.33%,0.304
215,429600,429167,5,0,134,0,0.9989920856610801,0.0003235567970204842,171600,171530,0,0.9995920745920746,0.0,258000,257637,0,0.998593023255814,0.0,0.3333333333333333,0.00019684019684021561,0.0,44.76%,1.47%,0.312
220,439600,439163,5,0,134,0,0.9990059144676979,0.00031619654231119197,175600,175530,0,0.9996013667425968,0.0,264000,263633,0,0.9986098484848485,0.0,0.3333333333333333,0.00019014173626930004,0.0,43.10%,1.62%,0.318
225,449600,449166,5,0,134,0,0.9990346975088968,0.0003091637010676157,179600,179530,0,0.9996102449888642,0.0,270000,269636,0,0.9986518518518519,0.0,0.3333333333333333,0.00018466963622863194,0.0,42.14%,1.64%,0.322
230,459600,459170,5,0,134,0,0.9990644038294169,0.00030243690165361186,183600,183530,0,0.9996187363834422,0.0,276000,275640,0,0.9986956521739131,0.0,0.3333333333333333,0.00018427741466958876,0.0,45.00%,1.42%,0.311
235,469600,469162,5,0,134,0,0.9990672913117546,0.0002959965928449744,187600,187530,0,0.9996268656716418,0.0,282000,281632,0,0.9986950354609929,0.0,0.3333333333333333,0.0001824212271973281,0.0,46.67%,1.43%,0.305
240,479600,479158,5,0,134,0,0.9990783986655546,0.00028982485404503754,191600,191530,0,0.9996346555323591,0.0,288000,287628,0,0.9987083333333333,0.0,0.3333333333333333,0.0001803525864068647,0.0,48.10%,1.40%,0.299
245,489600,489183,5,0,134,0,0.9991482843137255,0.00028390522875816995,195600,195530,0,0.999642126789366,0.0,294000,293653,0,0.9988197278911565,0.0,0.3333333333333333,0.00017155192001818556,0.0,43.81%,1.31%,0.317
250,499600,499184,5,0,134,0,0.9991673338670937,0.00027822257806244997,199600,199530,0,0.9996492985971944,0.0,300000,299654,0,0.9988466666666667,0.0,0.3333333333333333,0.00017117568470272133,0.0,46.43%,1.14%,0.307
255,509600,509148,5,0,134,0,0.9991130298273155,0.0002727629513343799,203600,203530,0,0.9996561886051081,0.0,306000,305618,0,0.9987516339869281,0.0,0.3333333333333333,0.00016835843702247394,0.0,46.90%,1.61%,0.303
260,519600,519183,5,0,134,0,0.9991974595842956,0.00026751347190146266,207600,207530,0,0.9996628131021195,0.0,312000,311653,0,0.9988878205128205,0.0,0.3333333333333333,0.00015815671162491856,0.0,40.71%,1.49%,0.328
265,529600,529183,5,0,134,0,0.9992126132930513,0.00026246223564954684,211600,211530,0,0.9996691871455576,0.0,318000,317653,0,0.9989088050314465,0.0,0.3333333333333333,0.00016041797941609864,0.0,45.48%,1.21%,0.311
